Name,Symptom,Age,Gender,Back,Chest,Triceps,Bicep/Forearm,Quadriceps,Hamstrings/Glutes,Calf/Abductor,Core/Ab,Shoulder,Mobility
Osteoarthrits,knee-pain,50+,F,"lat-pull-down,seated-row,seated-face-pull,back-extension,assisted-pull-up","machine-chest-press,incline-machine-chest-press,cable-crossover,dumbbell-chest-press,machine-fly","seated-tricep-overhead-extension,dumbbell-skull-crusher,lying-tricep-extension,close-grip-press,tricep-bench-dip","incline-bicep-curl,concentration-curl,seated-hammer-curl,wrist-curl,cable-curl","mini-squat,leg-lift,leg-extension,leg-raise,quad-squeeze","standing-hip-hinge,clamshell,donkey-kick,glute-ham-raise,seated-leg-curl","seated-calf-raise,lying-side-leg-raise,calf-press,hip-hitch,donkey-calf-raise","crunch,plank,side-plank,dead-bug,russian-twist","machine-shoulder-press,seated-lateral-raise,seated-dumbbell-shoulder-press,cable-lateral-raise,dumbbell-front-raise","double-knee-to-chest,knee-stretch,knee-extension,hamstring-stretch,leg-adduction"
Osteoarthrits,knee-pain,50+,F,"lat-pull-down,seated-row,seated-face-pull,back-extension,dumbbell-trap-raise","machine-chest-press,incline-machine-chest-press,cable-crossover,dumbbell-chest-press,incline-dumbbell-chest-press","seated-tricep-overhead-extension,dumbbell-skull-crusher,lying-tricep-extension,close-grip-press,tricep-rope-extension","incline-bicep-curl,concentration-curl,seated-hammer-curl,wrist-curl,seated-dumbbell-curl","mini-squat,leg-lift,leg-extension,leg-raise,step-up","standing-hip-hinge,clamshell,donkey-kick,glute-ham-raise,side-lying-leg-lift","seated-calf-raise,lying-side-leg-raise,calf-press,hip-hitch,crab-walk","crunch,plank,side-plank,dead-bug,bicycle-crunch","machine-shoulder-press,seated-lateral-raise,seated-dumbbell-shoulder-press,cable-lateral-raise,cable-front-raise","double-knee-to-chest,knee-stretch,knee-extension,hamstring-stretch,quadracep-stretch"
Osteoarthrits,knee-pain,50+,M,"lat-pull-down,seated-row,seated-face-pull,back-extension,single-arm-lat-pull-down","machine-chest-press,incline-machine-chest-press,cable-crossover,dumbbell-chest-press,dumbbell-pullover","seated-tricep-overhead-extension,dumbbell-skull-crusher,lying-tricep-extension,close-grip-press,diamond-push-up","incline-bicep-curl,concentration-curl,seated-hammer-curl,wrist-curl,dumbbell-preacher-curl","mini-squat,leg-lift,leg-extension,leg-raise,kettlebell-squat","standing-hip-hinge,clamshell,donkey-kick,glute-ham-raise,fire-hydrant","seated-calf-raise,lying-side-leg-raise,calf-press,hip-hitch,reverse-calf-raise","crunch,plank,side-plank,dead-bug,high-knee","machine-shoulder-press,seated-lateral-raise,seated-dumbbell-shoulder-press,cable-lateral-raise,seated-barbell-shoulder-press","double-knee-to-chest,knee-stretch,knee-extension,hamstring-stretch,wall-slide"
Osteoarthrits,knee-pain,50+,F,"lat-pull-down,seated-row,seated-face-pull,back-extension,dumbbell-pullover","machine-chest-press,incline-machine-chest-press,cable-crossover,dumbbell-chest-press,bench-chest-press","seated-tricep-overhead-extension,dumbbell-skull-crusher,lying-tricep-extension,close-grip-press,tricep-pushdown","incline-bicep-curl,concentration-curl,seated-hammer-curl,wrist-curl,reverse-dumbbell-curl","mini-squat,leg-lift,leg-extension,leg-raise,bodyweight-squat","standing-hip-hinge,clamshell,donkey-kick,glute-ham-raise,hip-bridge","seated-calf-raise,lying-side-leg-raise,calf-press,hip-hitch,machine-abduction","crunch,plank,side-plank,dead-bug,cable-crunch","machine-shoulder-press,seated-lateral-raise,seated-dumbbell-shoulder-press,cable-lateral-raise,pike-push-up","double-knee-to-chest,knee-stretch,knee-extension,hamstring-stretch,ankle-stretch"
Osteoarthrits,knee-pain,50+,M,"lat-pull-down,seated-row,seated-face-pull,back-extension,straight-arm-pull-down","machine-chest-press,incline-machine-chest-press,cable-crossover,dumbbell-chest-press,push-up","seated-tricep-overhead-extension,dumbbell-skull-crusher,lying-tricep-extension,close-grip-press,dumbbell-devil","incline-bicep-curl,concentration-curl,seated-hammer-curl,wrist-curl,assisted-chin-up","mini-squat,leg-lift,leg-extension,leg-raise,walking-lunge","standing-hip-hinge,clamshell,donkey-kick,glute-ham-raise,stifff-leg-deadlift","seated-calf-raise,lying-side-leg-raise,calf-press,hip-hitch,standing-calf-raise","crunch,plank,side-plank,dead-bug,bird-dog","machine-shoulder-press,seated-lateral-raise,seated-dumbbell-shoulder-press,cable-lateral-raise,military-press","double-knee-to-chest,knee-stretch,knee-extension,hamstring-stretch,wall-sit"
Osteoarthrits,knee-pain,50+,F,"lat-pull-down,seated-row,seated-face-pull,assisted-pull-up,dumbbell-trap-raise","machine-chest-press,incline-machine-chest-press,cable-crossover,machine-fly,incline-dumbbell-chest-press","seated-tricep-overhead-extension,dumbbell-skull-crusher,lying-tricep-extension,tricep-bench-dip,tricep-rope-extension","incline-bicep-curl,concentration-curl,seated-hammer-curl,cable-curl,seated-dumbbell-curl","mini-squat,leg-lift,leg-extension,quad-squeeze,step-up","standing-hip-hinge,clamshell,donkey-kick,seated-leg-curl,side-lying-leg-lift","seated-calf-raise,lying-side-leg-raise,calf-press,donkey-calf-raise,crab-walk","crunch,plank,side-plank,russian-twist,bicycle-crunch","machine-shoulder-press,seated-lateral-raise,seated-dumbbell-shoulder-press,dumbbell-front-raise,cable-front-raise","double-knee-to-chest,knee-stretch,knee-extension,leg-adduction,quadracep-stretch"
Osteoarthrits,knee-pain,50+,F,"lat-pull-down,seated-row,seated-face-pull,assisted-pull-up,single-arm-lat-pull-down","machine-chest-press,incline-machine-chest-press,cable-crossover,machine-fly,dumbbell-pullover","seated-tricep-overhead-extension,dumbbell-skull-crusher,lying-tricep-extension,tricep-bench-dip,diamond-push-up","incline-bicep-curl,concentration-curl,seated-hammer-curl,cable-curl,dumbbell-preacher-curl","mini-squat,leg-lift,leg-extension,quad-squeeze,kettlebell-squat","standing-hip-hinge,clamshell,donkey-kick,seated-leg-curl,fire-hydrant","seated-calf-raise,lying-side-leg-raise,calf-press,donkey-calf-raise,reverse-calf-raise","crunch,plank,side-plank,russian-twist,high-knee","machine-shoulder-press,seated-lateral-raise,seated-dumbbell-shoulder-press,dumbbell-front-raise,seated-barbell-shoulder-press","double-knee-to-chest,knee-stretch,knee-extension,leg-adduction,wall-slide"
Osteoarthrits,knee-pain,50+,M,"lat-pull-down,seated-row,seated-face-pull,assisted-pull-up,dumbbel-pullover","machine-chest-press,incline-machine-chest-press,cable-crossover,machine-fly,bench-chest-press","seated-tricep-overhead-extension,dumbbell-skull-crusher,lying-tricep-extension,tricep-bench-dip,tricep-pushdown","incline-bicep-curl,concentration-curl,seated-hammer-curl,cable-curl,reverse-dumbbell-curl","mini-squat,leg-lift,leg-extension,quad-squeeze,bodyweight-squat","standing-hip-hinge,clamshell,donkey-kick,seated-leg-curl,hip-bridge","seated-calf-raise,lying-side-leg-raise,calf-press,donkey-calf-raise,machine-abduction","crunch,plank,side-plank,russian-twist,cable-crunch","machine-shoulder-press,seated-lateral-raise,seated-dumbbell-shoulder-press,dumbbell-front-raise,pike-push-up","double-knee-to-chest,knee-stretch,knee-extension,leg-adduction,ankle-stretch"
Osteoarthrits,knee-pain,50+,F,"lat-pull-down,seated-row,seated-face-pull,assisted-pull-up,straight-arm-pull-down","machine-chest-press,incline-machine-chest-press,cable-crossover,machine-fly,push-up","seated-tricep-overhead-extension,dumbbell-skull-crusher,lying-tricep-extension,tricep-bench-dip,dumbbell-devil","incline-bicep-curl,concentration-curl,seated-hammer-curl,cable-curl,assisted-chin-up","mini-squat,leg-lift,leg-extension,quad-squeeze,walking-lunge","standing-hip-hinge,clamshell,donkey-kick,seated-leg-curl,stifff-leg-deadlift","seated-calf-raise,lying-side-leg-raise,calf-press,donkey-calf-raise,standing-calf-raise","crunch,plank,side-plank,russian-twist,bird-dog","machine-shoulder-press,seated-lateral-raise,seated-dumbbell-shoulder-press,dumbbell-front-raise,military-press","double-knee-to-chest,knee-stretch,knee-extension,leg-adduction,wall-slit"
Osteoarthrits,knee-pain,50+,M,"lat-pull-down,seated-row,seated-face-pull,dumbbel-trap-raise,single-arm-pull-down","machine-chest-press,incline-machine-chest-press,cable-crossover,incline-dumbbell-chest-press,dumbbell-pullover","seated-tricep-overhead-extension,dumbbell-skull-crusher,lying-tricep-extension,tricep-rope-extension,diamond-push-up","incline-bicep-curl,concentration-curl,seated-hammer-curl,seated-dumbbell-curl,dumbbell-preacher-curl","mini-squat,leg-lift,leg-extension,step-up,kettlebell-squat","standing-hip-hinge,clamshell,donkey-kick,side-lying-leg-lift,fire-hydrant","seated-calf-raise,lying-side-leg-raise,calf-press,crab-walk,reverse-calf-raise","crunch,plank,side-plank,bicycle-crunch,high-knee","machine-shoulder-press,seated-lateral-raise,seated-dumbbell-shoulder-press,cable-front-raise,seated-barbell-shoulder-press","double-knee-to-chest,knee-stretch,knee-extension,quadracep-stretch,wall-slide"
